c,n,g,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,n,b,v,c_replaced
100.2450,Escuela Unidad Educativa Coromata Baja,PDC,41,5,8,19,3,9,150,10,89,35,245,100.2450
1000.1033,Escuela San Jose (V. Tunari),PDC,8,0,2,0,3,0,10,1,1762,9,24,1000.1033
1001.1034,Escuela Samuzabeti,AP,211,8,16,3,4,11,83,10,3061,59,346,1001.1034
1002.1035,Colegio Fe y Alegria,AP,245,28,20,28,5,8,136,16,1988,48,486,1002.1035
1003.1036,Escuela 27 de Mayo,AP,55,18,6,21,1,1,18,12,373,33,132,1003.1036
1003.1037,Unidad Educativa San Francisco Km 21,AP,52,2,5,2,4,4,43,1,1049,29,113,1003.1037
1004.1037,Escuela Elizardo Perez,AP,166,10,9,7,7,15,71,7,1944,56,292,1004.1037
1005.1038,Escuela Villa 14 de Septiembre,AP,287,31,35,29,16,10,235,19,3438,111,662,1005.1038
1005.26473,U. E. 14 de Septiembre,AP,132,20,11,12,9,12,107,3,1591,45,306,1005.26473
1006.1039,Escuela La Estrella (San Gabriel),AP,165,14,16,11,8,8,86,18,2681,60,326,1006.1039
1007.1047,Escuela La Estrella,AP,31,1,4,2,1,2,9,3,688,13,53,1007.1047
1008.1041,Unidad Educativa Moleto Icoya (V.Tunari),AP,75,12,4,19,2,13,30,11,846,35,166,1008.1041
101.2384,Escuela Apuvillque Morocollo,PDC,33,4,11,19,4,2,119,7,78,23,199,101.2384
1011.1101,Unidad Educativa Sucre,AP,125,25,15,11,11,16,69,12,1057,121,284,1011.1101
1012.1102,U.E. Tunas Vinto,AP,31,7,9,5,5,1,23,6,351,32,87,1012.1102
1013.1103,Unidad Educativa Ramadas,AP,84,18,4,4,6,17,67,7,373,35,207,1013.1103
1014.1104,Unidad Educativa Chullpa K'Asa,PDC,16,10,2,3,4,3,17,2,107,3,57,1014.1104
1017.1106,Unidad Educativa Llavini,PDC,31,1,0,7,1,1,56,0,242,18,97,1017.1106
1018.1107,Unidad Educativa Norberto Jimenez,PDC,43,8,5,7,4,3,57,2,286,39,129,1018.1107
1019.1110,U.E. Lacuyo,AP,66,8,13,6,2,10,40,2,481,26,147,1019.1110
102.2442,Colegio Santiago De Huata,PDC,245,34,71,31,26,53,896,56,365,146,1412,102.2442
1021.1112,Nucleo Escolar Confital,AP,38,5,7,7,3,6,35,2,299,21,103,1021.1112
1022.1115,Sede Comunal Kalliri,AP,6,1,2,0,1,0,0,0,43,0,10,1022.1115
1023.1116,Nucleo Escolar Charapaya,PDC,1,1,1,0,0,0,1,0,2,0,4,1023.1116
1024.1201,U.E. La Paz,PDC,225,121,34,111,12,29,293,40,1846,132,865,1024.1201
1025.25028,Sede De La Junta Vecinal De Epizana,AP,109,21,19,27,3,7,83,4,566,44,273,1025.25028
1026.1204,Unidad Educativa Tiraque C,AP,11,2,0,0,1,2,8,0,290,14,24,1026.1204
1027.1205,U.E. Eduardo Abaroa,AP,60,1,3,2,0,1,18,2,561,14,87,1027.1205
1028.1218,U. E. 23 de Mayo,PDC,30,28,11,16,7,5,65,12,183,23,174,1028.1218
1029.1219,U.E. Angel Escobar,PDC,37,4,10,13,1,4,78,3,286,22,150,1029.1219
103.2440,Escuela Apuraya,PDC,130,12,14,3,22,4,334,5,208,65,524,103.2440
1030.1220,U.E. Ladislao Cabrera de Chillikchi,PDC,19,6,13,14,4,5,37,8,184,13,106,1030.1220
1031.1221,U.E. René Barrientos Ortuño,PDC,50,15,25,14,1,6,58,6,358,33,175,1031.1221
1032.1222,U. E. 6 de Agosto,PDC,76,15,29,13,5,8,143,8,768,64,297,1032.1222
1033.1223,U. E. Ismael Montes,PDC,82,19,7,4,3,9,97,5,663,36,226,1033.1223
1034.1224,U.E. Daniel Sanchez Bustamante,PDC,26,7,8,5,3,3,77,7,237,18,136,1034.1224
1035.1206,Colegio Venancio Loss,PDC,125,28,20,34,7,20,155,20,568,46,409,1035.1206
1036.1207,Unidad Educativa Kara Huasi   Pojo,PDC,35,1,8,2,2,1,45,0,168,8,94,1036.1207
1038.1213,Unidad Educativa Challhuani,PDC,45,9,12,13,1,8,70,1,364,15,159,1038.1213
1039.1214,Nucleo Escolar Duraznillo,PDC,0,0,1,1,0,0,5,0,169,4,7,1039.1214
104.2447,Escuela Villa Lipe,PDC,90,14,14,5,10,17,297,6,152,84,453,104.2447
1040.1215,Unidad Educativa Yuthupampa,PDC,36,2,9,2,2,2,52,0,404,27,105,1040.1215
1041.1209,Unidad Educativa Rio Blanco,AP,196,27,8,35,11,11,122,17,1530,68,427,1041.1209
1042.25932,U.E. San Marcos,AP,777,41,29,69,11,21,335,51,3100,144,1334,1042.25932
1042.26470,U. E. Elizardo Pérez,AP,117,7,3,14,4,7,57,6,399,22,215,1042.26470
1043.1216,Unidad Educativa Palca C,AP,19,1,6,1,0,2,18,1,588,19,48,1043.1216
1044.1217,Unidad Educativa Rodeo C,AP,51,2,8,2,2,4,46,1,267,15,116,1044.1217
1045.1225,Escuela Gerónimo Uzeda Fe y Alegria,AP,538,143,32,121,18,44,398,78,2532,94,1372,1045.1225
1045.25894,U. E. Ernesto Che Guevara,AP,322,61,14,68,20,29,315,37,1393,63,866,1045.25894
1045.30075,U.E. Marcelo Quiroga Santa Cruz,AP,307,87,15,104,22,41,295,41,1480,63,912,1045.30075
1046.1226,Nucleo Educativo Entre Rios Tacuaral,AP,64,1,3,2,4,3,40,1,676,13,118,1046.1226
1047.1227,Nucleo Escolar Puerto Aurora,AP,68,3,4,11,3,8,32,4,454,24,133,1047.1227
1049.1228,Colegio Eduardo Avaroa (P.Villarroel),AP,189,154,16,126,11,17,124,65,808,89,702,1049.1228
105.2439,Colegio Central Porejoni,PDC,26,6,6,4,9,8,168,7,86,34,234,105.2439
1050.25030,Unidad Educativa San Francisco De Asis,AP,614,118,50,125,21,42,417,56,4833,199,1443,1050.25030
1050.25031,Unidad Educativa Juana Azurduy De Padilla,AP,187,20,7,37,14,6,156,18,1320,45,445,1050.25031
1050.25893,U. E. San Antonio de Padua,PDC,413,72,24,117,28,29,447,71,2783,124,1201,1050.25893
1050.30083,U.E. Eben Ezer A,PDC,187,38,14,51,18,13,208,32,1254,38,561,1050.30083
1050.32186,U. E. Bello Horizonte,PDC,17,4,7,6,0,1,24,4,172,4,63,1050.32186
1051.1230,Colegio Libertad,AP,102,11,8,5,5,2,64,10,1109,29,207,1051.1230
1052.1212,Escuela Eduardo Avaroa (Isarzama),AP,298,13,8,13,4,6,79,12,2162,63,433,1052.1212
1053.1231,Escuela Buenas Nuevas (Valle Ivirza),AP,120,4,5,5,3,7,45,10,1785,42,199,1053.1231
1054.1232,Colegio Juan Pablo II (Sacta),AP,372,23,14,30,13,17,227,18,4422,118,714,1054.1232
1055.1233,Escuela Toribio Claure (V. Hermoso),AP,111,11,5,12,5,6,55,6,1970,52,211,1055.1233
1056.1234,Escuela Central Villa Nueva,AP,49,4,1,1,0,3,20,0,834,16,78,1056.1234
1057.1235,Colegio Marcelo Quiroga Santa Cruz,AP,280,25,18,28,15,17,169,19,2577,59,571,1057.1235
1058.1236,Escuela Ayopaya (P.Villaroel),AP,56,7,7,1,2,3,35,5,1122,27,116,1058.1236
1059.26064,Centro Polifuncional Cesarzama,AP,32,0,5,4,2,0,21,0,275,11,64,1059.26064
106.2401,Colegio Nacional Mixto Huatajata,PDC,147,39,23,54,25,48,615,64,186,38,1015,106.2401
1060.1321,Colegio Pedro Ignacio Rivero,PDC,579,489,69,341,36,100,946,109,1712,216,2669,1060.1321
1060.32079,U.E. 14 de Septiembre,PDC,70,44,4,40,7,6,138,9,195,18,318,1060.32079
1062.1302,Sede Social De Tipa Tipa,PDC,75,29,3,18,7,6,85,2,231,32,225,1062.1302
1063.1303,Escuela Mixta Dr. Martin Cardenas,PDC,265,36,17,23,9,16,345,12,501,48,723,1063.1303
1064.1304,Escuela Guillermo Viscarra,AP,152,16,17,7,4,13,79,5,339,27,293,1064.1304
1065.1306,Unidad Educativa Tin Tin,PDC,79,45,11,34,11,9,141,9,284,57,339,1065.1306
